rung	status	gate	goldens_moved	review	commit	note
R5	DONE	build+ctest 540/540	0	Fable-BEFORE SOUND-WITH-FIXES (all folded) + adversarial rd1 SOUND-WITH-FIXES (P1 mutation-proven) -> rd2 CONFIRMED-GREENLIGHT (fresh contexts; the rd1 P1 kill RE-PROVEN by live mutation in rd2: thrust-leak forks dv 4.4e-3 vs margin 1e-12)	dbf22cbd0	GRAVITYFIELD ESCAPE CEILING (MASTER_PLAN 3.B, first Phase-2 field; tag game-R5-gravityfield @ d23846c92 + folds): sim/fields.h = the H1 single source (GravityField {h_g0_m, sigma_g_m}; g_at null=>literal p.g / full g through the fight band / Gaussian above / EXACT 0 past x>=26 tail clip; closed-form binding_energy_above via erfc, null=>+inf; specific_energy — R7 telemetry + will_escape MUST consume these, never re-derive). Plant: step.cpp samples g_at at the one gravity line (alt hoisted, shared with atm_frac — pure reorder); BOTH radial tripwires taper-guarded, scoped alt>h_g0 (full Section-1 strength in the fight band even ACTIVE; only the taper region relaxes). Activation: [gravity] game.toml (enabled=false SHIPPED — flipping true is CHAD'S), env_ptr now gates on Environment::any_live (a grav-only activation cannot silently no-op; R6/R11 inherit). ATs (12 cases): 3.B table pinned at h=0 (367.40/237.708/192.05), in-band erfc pin + independent Simpson cross-check, tail-clip exact-0 pin, null=>infinitely-bound pins, climb bracket 236 falls back (apex ~8424) / 240 escapes (E_spec>0 every tick, h>9500 @90s) around discrete threshold 237.747, fight-band bit-identity 10 s real airframe ACTIVE vs null (exact ==), in-band single-step DIFFERENTIAL (dv == the gravity delta exactly, rotation zero fork — the leak tripwire), any_live pins, loader floor+ceiling rejects. Keys: [gravity] enabled/h_g0_m/sigma_g_m (bands [1000,20000]/[50,10000], floors documented vs terrain + tick resolution). LESSON: non-ASCII in Catch2 test names breaks the ctest name-filter round-trip on Windows (two legs silently never ran: "No test cases matched") — ASCII-only names
R5-FLY	HALT	build+ctest 540/540	0	n/a	-	HALT — Chad ACTIVATES + FLIES the felt ceiling + SIGNS the kernel round (checklist INLINE in the reply, per the standing rule): set [gravity] enabled=true; climb out of the fight band feeling for the no-hard-line ceiling (atm taper + g letting go compose 5-8 km); redline vertical zoom from ~4 km JUST escapes (238 vs 245), from the deck unreachable (deck always safe); sub-threshold zoom = the Drift (minutes of float, falls back); over = the Escape (irreversible — NOTE: an escaped player never crashes => stranded like the prop-break case; a respawn key is a new ask, parked with him). Dials: h_g0_m raises the whole ceiling, sigma_g_m mushier/sharper. Kernel-round sign-off covers: the g_at plant seam + the taper-scoped tripwire relaxation + the tail clip. After approval -> R6 AtmosphereField + rho_at migration (~8 consumers, 3.C census)
R5-FLY-1	DONE	n/a	n/a	Chad's stick (2026-07-15)	-	VERDICT (first R5 fly): "I dont know if the escape was on I was able to get up to 6500m" — DIAGNOSIS: the field was OFF ([gravity] enabled was still false in his game.toml, verified on disk after the flight; activation was a config edit he never made). 6500 m with the field off is ORDINARY thin-air flight (the atm ceiling is ~8 km) — nothing anomalous. ROOT DEFECT = legibility + activation friction: a config-file edit is the wrong activation surface for a fly session, and the field state was invisible on screen. ASK (Chad): keypress toggle "just like the seasons / time and atmosphere visual"
R5b	DONE	build+ctest 540/540	0	n/a (app+render glue off the reviewed seam; visual smoke shots/r5b_smoke.png — tag confirmed on-screen, the green gate is blind to the app binary)	b6061a71e	T-KEY LIVE TOGGLE + ESCAPE SKY BEZEL TAG: grav_field params load UNCONDITIONALLY (dials config-owned always; only the pointer follows enabled), T flips env.grav live in the debug-key block (same class as K/season, backslash/haze — env is DATA sampled per tick, no kernel state, no mid-flight seam; env_ptr recomputed via any_live), bezel title appends "ESCAPE SKY" whenever the field is live (config OR key; set outside the smoke gate so smoke shots show it too). [gravity] enabled stays the STARTUP state only. FrameInfo.escape_sky = world-state class like season
R5-FLY-2	DONE	n/a	n/a	Chad's stick (2026-07-15)	-	VERDICT (second R5 fly, field ON via config after fly-1): (a) "I need an hud tag to tell me if the escape is there" — the R5b bezel strip read TOO SUBTLE (faint 14px title text; lesson: world-state a pilot must act on belongs in the read-on-sight plate class, not the bezel); (b) "lower the ceiling for the escape to 4000m at like 100m/s there is no coming back I had to get to like 800[0]m before I was drifting away" — with the 3.B design pair (5000/1500) escape needed 238 at 4 km (redline zoom only) and only got EASY near the plane's ~8 km practical ceiling; Chad wants the no-return reachable at 4 km / ~100 m/s
R5c	DONE	build+ctest 540/540	0	n/a (display glue + config retune off the reviewed seam; visual smoke shots/r5c_smoke.png — amber plate confirmed under the flaps gauge)	856870421	HUD ESCAPE PLATE + CEILING RETUNE (Chad-directed): plate centered UNDER the flaps gauge whenever the field is live — amber ESCAPE SKY while bound, red NO RETURN once E_spec > 0 (the R7 escape telemetry pulled FORWARD: app reads the kernel's own sim::specific_energy — H1 single source, never a re-derived integral — latched hysteretically ON at E>0 / OFF below -100 J/kg, display anti-chatter per the every-gate-is-hysteretic lesson; field off => E = -inf clears the latch; T mid-drift = the rescue, plate flips red->amber as gravity rebinds). RETUNE per Chad's numbers: [gravity] h_g0_m 4000 / sigma_g_m 405.5 => v_esc(4000) = 100.0 EXACT, 222 @ 2 km, ~243 @ 1.5 km (a redline zoom escapes from ~1.5 km up — combat escapes are now PRESENT, his stick judges), deck safe at 297 vs 245 redline. GravityField struct defaults stay the 3.B pair (the analytic ATs pin the spec shape); config owns the tune; loader-test pins updated in lockstep (5000/1500 -> 4000/405.5, mutation strings too). STILL OPEN: felt-ceiling verdict + kernel-round sign-off (the R5-FLY HALT stands)
R5-FLY-3	DONE	n/a	n/a	Chad's stick (2026-07-15)	-	VERDICT (third R5 fly, field ON, new 4000/405.5 tune): "I got above 4000m it says no return but then I dove down and recovered" — THE TAG LIED. Physics: E_spec > 0 is irreversible ONLY in vacuum (the field is conservative; in vacuum E is frozen); with AIR present drag can still bleed the surplus, so a dive recovers — which is GOOD gameplay (pilot skill saves you), the LABEL was the defect. The true no-return needs E>0 AND no air to maneuver/brake with (lift/drag/thrust all scale with atm_frac)
R5d	DONE	build+ctest 540/540	0	n/a (display semantics + one loader key; visual smoke shots/r5d_smoke.png amber baseline; orange/red stages need a live climb = fly evidence)	e56e0da5c	HONEST THREE-STAGE ESCAPE TAG: amber ESCAPE SKY (field live, bound) / orange ESCAPING (E>0 hysteretic latch — hands-off you leave, A DIVE STILL SAVES YOU) / red NO RETURN (E>0 AND atm_frac < [gravity] no_return_atm_frac — lift/drag/thrust dead + conservative field freezes E>0: PROVABLY permanent, not a ballistic projection; no extra hysteresis needed, an escaping coast climbs monotonically through the floor). New key no_return_atm_frac 0.01 (~11 km shipped), band (0, 0.5] (0 = silent disarm, >0.5 = the fly-3 lie re-armed), loader reject legs + pin in lockstep. LESSON (instrument honesty class): a projection-vs-actual verdict on an instrument must state the CONDITIONS under which it is a theorem — E>0 is an escape theorem only where the remaining dissipation channels are dead; displaying it as fate while air remains ships a false instrument the pilot immediately disproves
R5-FLY-4	DONE	n/a	n/a	Chad's stick (2026-07-15)	-	VERDICT (fourth R5 fly): "no I want no return to be at 4000m at 100m/s" — Chad REJECTED the R5d three-stage tag (ESCAPING-with-dive-rescue): crossing the line at his numbers must BE the loss, not a warning. Design fact folded: physics alone cannot make the crossing absolute (any altitude the plane can FLY at has air, and air can always bleed the E>0 surplus — the fly-3 recovery), so the no-return is a GAME RULE, which also makes MASTER_PLAN 3.B's own "E>0, irreversible" claim TRUE in the sim
R5e	DONE	build+ctest 545/545	0	n/a (app-layer rule at the with_bias post-cascade seam; 6 new ATs incl. the null-env fixture-no-op arm; kernel untouched, frozen path structurally unclaimable)	cb943393d	THE ESCAPE CLAIM: first live tick with E_spec > 0 and the field active, app::tick latches LoopState.escape_claimed and hands the plant NEUTRAL Inputs{} (dead stick, throttle slews down) — BOTH modes, raw and instructor. Falling back bound does NOT free the plane (latch); cleared ONLY by crash-respawn or field-off (T = the rescue). HUD back to two honest states: amber ESCAPE SKY / red NO RETURN mirroring the tick latch (the plate states a FACT about the airframe — it severed the controls that tick). R5d no_return_atm_frac REMOVED (superseded; the threshold IS [gravity] h_g0_m/sigma_g_m). ATs: sever-on-full-stick both modes + null-env arm flows the command (fixture-no-op guard), latch survives falling bound, respawn clears, field-off clears + frees, bound flight never claims. CARRY-IN noted: bandits have no escape logic yet — a baited bandit crossing E>0 keeps its autopilot (the R7 will_escape bait predicate is where bandit escape lands). LESSON RECURRED SAME DAY: em-dash in a Catch2 test name = ctest silently never runs it — ASCII ONLY in test names, second instance
R5-FLY-5	DONE	n/a	n/a	Chad's stick (2026-07-15 EOD)	-	VERDICT: "perfect!" — R5e escape claim APPROVED on the stick. This closes the R5-FLY HALT in full: the felt ceiling is RULED (4000 m / 100 m/s, Chad's own numbers, five fly iterations to converge) and the KERNEL ROUND IS SIGNED (the g_at plant seam + taper-scoped tripwire relaxation + tail clip + the all-null bit-identity proof). ESCAPE SKY = COMPLETE for Phase 2/R5. Escape-adjacent items that REMAIN are R7-scheduled by design, not loose ends: (1) bandit escape (will_escape bait predicate; today a bandit crossing E>0 keeps its autopilot); (2) escaped-drift RESOLUTION (a claimed plane that drifts out never crashes — the loss needs an end: Apparition/respawn timer, Phase 6 economy decides what a lost plane costs); (3) [gravity] enabled=false stays the shipped startup default (T is the session toggle; Chad flips the config when he wants it always-on). => R5 CLOSED; next rung = R6
PLAN	PLAN	n/a	n/a	Fable-BEFORE (fresh context, MANDATORY step 0): GREENLIGHT-WITH-4-CONDITIONS	-	R6 seam red-teamed BEFORE building. KEY DISCOVERY: control::step ALREADY threads const sim::Environment* env (R3, [[maybe_unused]], kernel sign-off 2026-07-15) -- MASTER_PLAN 3.C's feared structural firewall exception for control/ is RETIRED CODE (R6 just un-maybe_unused + dereferences). 4 binding conditions FOLDED: (1) spatialize atm_frac NOT rho_at (the plant hoists ONE f_atm for BOTH thrust and q at step.cpp:75 -- migrating rho_at alone forks thrust from q); (2) union = complement-product 1-prod(1-u_i) x existing atm_frac(alt), smoothstep components with EXACT 0/1 plateaus (in-core u==1 => bit-identical baseline; overlaps never exceed sea-level; no subnormal tail = the R5 kGravTailCut lesson for free); (3) NO live toggle until census complete + spatial AT fires; (4) edge softness KM-scale (50m @ cruise = 0.35s cliff = a scripted wall) + wind audio migrated same round. Structural stragglers: drone stall guard (config-load time, NO position -- stays altitude, documented); live-empty-field vacuum trap (enabled => >=1 bubble). Next rung = R6 build
R6	DONE	build+ctest 557/557	0	Fable-BEFORE GREENLIGHT (4 conditions folded) + adversarial rd1 SOUND-WITH-FIXES (2xP1 folded) -> rd2 CONFIRMED-GREENLIGHT (fresh contexts; P1-1 wiring AT mutation-proven, core-identity anchor)	uncommitted (working tree; parallel ballistics/sky files ALSO dirty -- commit R6 files by EXPLICIT PATH on Chad's go, never git add -A)	ATMOSPHEREFIELD + rho/atm_frac SPATIAL MIGRATION (MASTER_PLAN 3.C, the 2nd Phase-2 kernel round): sim/fields.h AtmosphereField (deck + spherical-cap bubble domes); sim/aero.h atm_frac_at(position,env,p) = null=>literal atm_frac(altitude(pos,p),p) bit-identical / live=>atm_frac(alt)*(1-prod(1-u_i)) complement-product union of deck+bubbles via atm_falloff (exact 0/1 plateaus); rho_at(pos,env,p). Migrated the ~8 consumers via _at_rho cores (formula lives once) + altitude bodies (null-path/tests) + position+env overloads (LIVE): plant step.cpp:75 (ONE f_atm, thrust+q together), plant_invert + damp_ff q + ang_accel braking margins + telem load_factor (controller, env un-maybe_unused'd), instructor_tick damage-n, wind audio, HUD flight_readout+draw_frame (P1-2). Drone stall guard stays altitude (config-time, documented). App: [atmosphere] game.toml (enabled=false SHIPPED -- CHAD's activation), single TEST bubble centered on SPAWN (start inside, fly to edge), B KEY toggles live + bezel BUBBLE tag + AIR nn%/THIN AIR plate under flaps gauge (env.atm gates env_ptr via any_live). 11 spatial ATs (test_atmosphere.cpp): null bit-identity, in-core EXACT baseline, edge<baseline, vacuum exact-0, deck breathable, overlap<=1, AT-18b SPATIAL fork (mutation: stale altitude inversion reproduces only tau*u), every-consumer u-sweep, atm_falloff plateaus, control::step WIRING (edge-differs/core-identical, P1-1), in-core step bit-identity + [atmosphere] loader reject legs. Smoke shots/r6_smoke.png (BUBBLE tag + green AIR 100% at spawn core; amber/red THIN AIR needs a live climb-out = fly evidence). LESSON RECURRED 3rd TIME: non-ASCII (Greek rho) in a Catch2 name = ctest silently never runs it -- ASCII ONLY
R6-FLY	HALT	build+ctest 557/557	0	n/a	-	HALT -- Chad ACTIVATES + FLIES the bubble edge + SIGNS the kernel round (checklist INLINE in the reply, standing rule). set [atmosphere] enabled=true OR press B in-app (B toggles live, like T for gravity); spawn is at the bubble CENTER -- fly OUTWARD ~6 km to the soft edge feeling for the wall that EMERGES from thinning air (thrust+lift+authority all starve together, momentum carries you out, you SAG back -- NOT a scripted push); the AIR nn% plate greens->ambers->red THIN AIR as you leave, wind thins in the ear. Dials (his stick): bubble_edge_soft_m mushier/sharper wall, bubble_radius_m bubble size, bubble_ceiling_m dome height, deck_agl_m breathable floor. Kernel-round sign-off covers: the atm_frac_at plant seam (step.cpp ONE f_atm) + the position+env inversion (plant_invert/damp_ff/ang_accel) + the all-null bit-identity proof (goldens 0). Carry-ins to R7: bandit escape (will_escape), escaped-drift loss resolution, weapon-g fork (bullets fly config-const drag in vacuum). After approval -> R7 escape-energy telemetry + bait predicate
R6-FLY-1	DONE	n/a	n/a	Chad's stick (2026-07-17)	-	VERDICT: CHECKMARK -- R6 bubble edge APPROVED on the stick + KERNEL ROUND SIGNED (the atm_frac_at plant seam + the position+env inversion + the all-null bit-identity proof). Chad: 'positive and hopeful about our direction, the game loop and the mechanics.' => R6 CLOSED. Two design notes folded to canon (below) + v4-kernel heads-up. Next rung = R7
NOTE	PLAN	n/a	n/a	Chad canon (2026-07-17), folded to MASTER_PLAN	-	THREE canon updates from the R6 fly + a heads-up. (1) ESCAPE-SKY TRANSITION ZONE (R7/R5-revisit): Chad wants a SMALL transition zone through the escape crossing -- a CHOKING ENGINE with the tag ramping to red, felt like air thinning at the bubble edge/deck (the emergent mush he just approved), replacing R5e's INSTANT tick-sever cliff so both ceiling mechanisms feel consistent (soft fade then the no-return latch, NOT a guillotine; keep it emergent, not a scripted push) -- folded to MASTER_PLAN 3.B. (2) CAMPAIGN BUBBLE MAP REDEFINED (supersedes the 4-bubble sketch, MASTER_PLAN 2.5): TWO factions, each a marked MINE = its tunnel entrance -- SUDBURY faction (bubble = City of Sudbury; entrance = MURRAY MINE) vs the CHELMSFORD COALITION in opposition (bubble = Azilda + Chelmsford Central + Dowling incl. Onaping + Levack; entrance = ERRINGTON MINE, SW of Chelmsford = the Phase-3 Errington Tunnel mouth). Tunnel = the back door between them. OPENS: which faction the player flies, mine coords, one-bubble-vs-cluster for the coalition. (3) TUNNEL DEPTH re-confirmed 2000 m (Chad reverted a 1 km consideration back to 2 km ~ Creighton Mine); THE BLACK STOPE = the full-atmosphere dogfightable chamber at the bottom (the Day-5 chamber spike, now named), a BLENDER HERO; Errington Mine RUINS (buildings + conveyor belts) = heroes too; Chad will provide a reference PICTURE around the tunnel. HEADS-UP: Fable 5 is spinning up a V4 FLIGHT KERNEL effort in a SEPARATE SANDBOX and will commit changes there -- the frozen kernel may evolve to v4; keep R6/fields-forge clean + committed so it does not tangle
